doi,title,journal,year,cites,areas
10.1109/tmech.2023.3348519,Physics-Informed Neural Network for Spacecraft Lithium-Ion Battery Modeling and Health Diagnosis,IEEE/ASME Transactions on Mechatronics,2024,58,Physics-informed
10.1177/00202940221103622,A hybrid CNN-BiLSTM approach for remaining useful life prediction of EVs lithium-Ion battery,Measurement and Control,2022,58,Prognostics (RUL)
10.1016/j.apenergy.2024.124077,Refined lithium-ion battery state of health estimation with charging segment adjustment,Applied Energy,2024,58,Health estimation (SOH)
10.1016/j.est.2022.106319,Lithium-ion battery state of health estimation using meta-heuristic optimization and Gaussian process regression,Journal of Energy Storage,2023,58,Health estimation (SOH)
10.3390/en16103993,Lithium-Ion Battery Health State Prediction Based on VMD and DBO-SVR,Energies,2023,58,Health estimation (SOH);Transfer learning
10.1016/j.etran.2024.100337,Prediction of thermal runaway for a lithium-ion battery through multiphysics-informed DeepONet with virtual data,eTransportation,2024,58,Thermal management
10.1016/j.est.2024.113502,Graph neural network-based lithium-ion battery state of health estimation using partial discharging curve,Journal of Energy Storage,2024,57,Graph networks
10.1016/j.energy.2023.128984,Remaining useful life prediction method of lithium-ion batteries is based on variational modal decomposition and deep learning integrated approach,Energy,2023,57,Prognostics (RUL)
10.1109/jestpe.2022.3177451,State of Health Estimation for Lithium-Ion Battery via Recursive Feature Elimination on Partial Charging Curves,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,57,Health estimation (SOH)
10.1016/j.energy.2023.126724,Time-efficient identification of lithium-ion battery temperature-dependent OCV-SOC curve using multi-output Gaussian process,Energy,2023,57,Health estimation (SOH)
10.1016/j.apenergy.2023.121936,Thermal management with fast temperature convergence based on optimized fuzzy PID algorithm for electric vehicle battery,Applied Energy,2023,57,Thermal management
10.1016/j.apenergy.2024.123995,Optimizing electric vehicle fleet integration in industrial demand response: Maximizing vehicle-to-grid benefits while compensating vehicle owners for battery degradation,Applied Energy,2024,56,Cloud & fleet
10.1016/j.est.2020.101479,Data driven battery anomaly detection based on shape based clustering for the data centers class,Journal of Energy Storage,2020,56,Fault & safety
10.1016/j.energy.2021.122879,Lithium-ion battery capacity estimation based on battery surface temperature change under constant-current charge scenario,Energy,2022,56,Thermal management
10.1016/j.est.2023.109191,Data-driven state of health estimation for lithium-ion battery based on voltage variation curves,Journal of Energy Storage,2023,56,Thermal management
10.1016/j.est.2022.105470,Fault diagnosis for lithium-ion battery energy storage systems based on local outlier factor,Journal of Energy Storage,2022,55,Fault & safety
10.1016/j.applthermaleng.2024.123826,Machine learning assisted multi-objective design optimization for battery thermal management system,Applied Thermal Engineering,2024,55,Cross-cutting
10.1109/tpel.2022.3205437,Adaptive Neural Network-Based Prescribed-Time Observer for Battery State-of-Charge Estimation,IEEE Transactions on Power Electronics,2023,55,State estimation (SOC)
10.1016/j.est.2023.108390,State of health estimation for lithium-ion batteries using Gaussian process regression-based data reconstruction method during random charging process,Journal of Energy Storage,2023,55,Health estimation (SOH)
10.3390/en15124399,A New Hybrid Neural Network Method for State-of-Health Estimation of Lithium-Ion Battery,Energies,2022,54,Health estimation (SOH);Physics-informed
10.1016/j.apenergy.2025.125314,A generic physics-informed machine learning framework for battery remaining useful life prediction using small early-stage lifecycle data,Applied Energy,2025,54,Prognostics (RUL)
10.1109/access.2020.3038182,State of Health Diagnosis and Remaining Useful Life Prediction for Lithium-ion Battery Based on Data Model Fusion Method,IEEE Access,2020,54,Prognostics (RUL)
10.1016/j.geits.2023.100067,An improved neural network model for battery smarter state-of-charge estimation of energy-transportation system,Green Energy and Intelligent Transportation,2023,54,State estimation (SOC)
10.1016/j.egyr.2021.10.095,Co-estimation of state of charge and capacity for lithium-ion battery based on recurrent neural network and support vector machine,Energy Reports,2021,54,State estimation (SOC)
10.3390/batteries10120442,A Comprehensive Review of Multiple Physical and Data-Driven Model Fusion Methods for Accurate Lithium-Ion Battery Inner State Factor Estimation,Batteries,2024,54,Thermal management
10.3390/math11234865,Smart Lithium-Ion Battery Monitoring in Electric Vehicles: An AI-Empowered Digital Twin Approach,Mathematics,2023,54,Digital twins
10.1016/j.energy.2023.126665,Attention-based encoder-decoder networks for state of charge estimation of lithium-ion battery,Energy,2023,53,State estimation (SOC)
10.1016/j.energy.2022.125503,State-of-health estimation for lithium-ion batteries with hierarchical feature construction and auto-configurable Gaussian process regression,Energy,2023,53,Health estimation (SOH)
10.1007/s42979-024-03046-2,"Machine Learning in Lithium-Ion Battery: Applications, Challenges, and Future Trends",SN Computer Science,2024,52,Cell balancing & ECM;Digital twins;Fault & safety
10.1016/j.procs.2022.12.383,A Remaining Useful Life Prediction Method for Lithium-ion Battery Based on Temporal Transformer Network,Procedia Computer Science,2023,52,Prognostics (RUL)
10.1016/j.est.2023.109010,A state-of-health estimation method based on incremental capacity analysis for Li-ion battery considering charging/discharging rate,Journal of Energy Storage,2023,52,Health estimation (SOH)
