doi,title,journal,year,cites,areas
10.1016/j.electacta.2025.147608,Physics-constrained machine learning for real-time lithium-ion battery health estimation from constant voltage charging data,Electrochimica Acta,2025,6,Charging control;Health estimation (SOH)
10.3390/wevj16080419,Empirical Energy Consumption Estimation and Battery Operation Analysis from Long-Term Monitoring of an Urban Electric Bus Fleet,World Electric Vehicle Journal,2025,6,Cloud & fleet
10.1016/j.measurement.2025.116648,Few-shot fault diagnosis for lithium-ion battery packs based on a novel AVMDR-IDRSN model,Measurement,2025,6,Fault & safety
10.1016/j.energy.2025.137565,Battery charging curve prediction via Fourier graph neural network fused prompt features,Energy,2025,6,Graph networks
10.1016/j.ress.2026.112416,Domain-specific large language model-driven risk analysis of battery energy storage systems,Reliability Engineering &amp; System Safety,2026,6,Foundation models
10.1109/tce.2025.3583409,Consumer IoV: A Hybrid Deep Learning Model for Remaining Useful Life Prediction of Vehicle Battery,IEEE Transactions on Consumer Electronics,2025,6,Prognostics (RUL)
10.1016/j.apenergy.2021.118165,Sparse data machine learning for battery health estimation and optimal design incorporating material characteristics,Applied Energy,2022,6,Second life
10.3390/wevj16030168,LSTM-Based State-of-Charge Estimation and User Interface Development for Lithium-Ion Battery Management,World Electric Vehicle Journal,2025,6,State estimation (SOC)
10.1063/5.0172683,A deep reinforcement learning approach for state of charge and state of health estimation in lithium-ion batteries,AIP Advances,2023,6,State estimation (SOC)
10.1115/1.4062385,Joint Estimation of State of Charge and State of Health of Lithium Ion Battery,Journal of Electrochemical Energy Conversion and Storage,2023,6,Health estimation (SOH);State estimation (SOC)
10.3390/electronics12040808,Interacting Multiple Model for Lithium-Ion Battery State of Charge Estimation Based on the Electrochemical Impedance Spectroscopy,Electronics,2023,6,State estimation (SOC)
10.3390/app131810547,State of Charge Estimation for Power Battery Using Improved Extended Kalman Filter Method Based on Neural Network,Applied Sciences,2023,6,State estimation (SOC)
10.1115/1.4063431,High-Accuracy Battery State of Charge Estimation Strategy Based on Deep Belief Network Cascaded With Extended Kalman Filter,Journal of Electrochemical Energy Conversion and Storage,2023,6,State estimation (SOC)
10.1007/s00202-025-02997-w,Hyperparameter-optimized machine learning model for real-time estimation of lithium-ion battery state-of-charge,Electrical Engineering,2025,6,State estimation (SOC)
10.3390/electronics12214552,Fast Health State Estimation of Lead–Acid Batteries Based on Multi-Time Constant Current Charging Curve,Electronics,2023,6,Health estimation (SOH)
10.1115/1.4066636,Combining Multi-Indirect Features Extraction and Optimized Gaussian Process Regression Algorithm for Online State of Health Estimation of Lithium-Ion Batteries,Journal of Electrochemical Energy Conversion and Storage,2024,6,Health estimation (SOH)
10.1002/est2.70131,A Real‐Time Adaptive Machine Learning Charging and Neural Network Balancing Mechanism of Lithium‐Ion Battery Pack,Energy Storage,2025,5,Cell balancing & ECM;Charging control
10.1007/s42154-025-00363-x,Optimization of Lithium-Ion Battery Charging Strategy Based on Aging State Scoring,Automotive Innovation,2025,5,Charging control
10.1016/j.engappai.2025.110868,Parallel Bayesian optimization using satisficing Thompson sampling for fast charging design of lithium-ion batteries,Engineering Applications of Artificial Intelligence,2025,5,Charging control
10.1002/ente.202500651,Deep Learning‐Based Surrogate Model for Lithium‐Ion Battery Behavior Prediction with Extreme Fast Charging Case Study,Energy Technology,2025,5,Charging control
10.4018/ijose.2020010101,Electric Vehicle Fleet Management Using Ant Colony Optimisation,International Journal of Strategic Engineering,2020,5,Cloud & fleet
10.3390/app13074448,Lithium-Ion Battery Aging Analysis of an Electric Vehicle Fleet Using a Tailored Neural Network Structure,Applied Sciences,2023,5,Cloud & fleet;Physics-informed
10.1016/j.softx.2023.101534,Hybrid adaptive battery parameter estimation approach for equivalent circuit model toolbox,SoftwareX,2023,5,Other
10.1016/j.ensm.2024.103877,Machine learning-based lifelong estimation of lithium plating potential: A path to health-aware fastest battery charging,Energy Storage Materials,2025,5,Fault & safety
10.1371/journal.pone.0303933,Economic benefit analysis of lithium battery recycling based on machine learning algorithm,PLOS ONE,2024,5,Fault & safety
10.1016/j.ifacol.2023.12.049,Li-S Battery Outlier Detection and Voltage Prediction using Machine Learning,IFAC-PapersOnLine,2023,5,Fault & safety
10.1016/j.joule.2025.102131,Unlocking battery insights with interpretable machine learning,Joule,2025,5,Interpretability
10.24425/bpasts.2025.155033,Interpretable machine learning for battery health insights: A LIME and SHAP-based study on EIS-derived features,Bulletin of the Polish Academy of Sciences Technical Sciences,2025,5,Interpretability
10.5050/ksnve.2021.31.2.177,Physics-informed Neural Network for Estimation of Lithium-Ion Battery State-of-health,Transactions of the Korean Society for Noise and Vibration Engineering,2021,5,Physics-informed
10.1088/1742-6596/2109/1/012005,State of Charge Estimation of Lithium-ion Battery Based on Improved Recurrent Neural Network,Journal of Physics: Conference Series,2021,5,Physics-informed;State estimation (SOC)
10.1002/ente.202000031,Artificial Neural Network–Based Multisensor Monitoring System for Collision Damage Assessment of Lithium‐Ion Battery Cells,Energy Technology,2020,5,Physics-informed
10.3390/batteries12040115,An Adaptive-Weight Physics-Informed Neural Network Optimized by Grey Wolf Optimizer for Lithium-Ion Battery State of Health Estimation,Batteries,2026,5,Physics-informed
10.1016/j.est.2023.108842,Increasing the efficiency of li-ion battery cycle life testing with a partial-machine learning based end of life prediction,Journal of Energy Storage,2023,5,Prognostics (RUL)
10.1016/j.fub.2025.100114,Battery-Insight-PSO: A machine learning model for accurate prediction of state of health and remaining useful life in lithium-ion batteries,Future Batteries,2025,5,Prognostics (RUL)
10.1002/adts.202100552,Lithium‐Ion Battery State of Charge Estimation Using a New Extended Nonlinear State Observer,Advanced Theory and Simulations,2022,5,State estimation (SOC)
10.1007/s43926-025-00148-y,Deep learning based state of charge estimation of lithium ion battery for electric vehicle application,Discover Internet of Things,2025,5,State estimation (SOC)
10.3390/en18215677,IVCLNet: A Hybrid Deep Learning Framework Integrating Signal Decomposition and Attention-Enhanced CNN-LSTM for Lithium-Ion Battery SOH Prediction and RUL Estimation,Energies,2025,5,State estimation (SOC)
10.1049/2023/8839034,Li‐Ion Battery State of Health Estimation Based on Short Random Charging Segment and Improved Long Short‐Term Memory,IET Signal Processing,2023,5,Health estimation (SOH)
10.1016/j.compchemeng.2025.109246,A Novel Combined Multi-Task Gaussian Process Regression and Compensation Model for Prediction of Lithium-Ion Battery Degradation,Computers &amp; Chemical Engineering,2025,5,Health estimation (SOH)
10.1016/j.compchemeng.2025.109406,Deep reinforcement learning-based thermal management of battery subpack in electric vehicle,Computers &amp; Chemical Engineering,2026,5,Thermal management
10.3390/molecules31020347,A Review of Gas-Sensitive Materials for Lithium-Ion Battery Thermal Runaway Monitoring,Molecules,2026,5,Thermal management
10.1016/j.isci.2025.114518,Lithium-ion power battery state of health evaluation for electric vehicles based on multi-source transfer learning,iScience,2026,5,Transfer learning
10.3901/jme.2023.22.100,Online Lithium-ion Battery Capacity Estimation Based on Random Charging Data,Journal of Mechanical Engineering,2023,4,Charging control;Thermal management
10.1016/j.est.2025.118569,Equivalent-circuit thermal aging model with parameter identification for battery temperature prediction,Journal of Energy Storage,2025,4,Other
10.1016/j.est.2026.121685,Differentiable physics information neural network with equivalent circuit model constraints for lithium-ion battery parameter identification,Journal of Energy Storage,2026,4,Other
10.1016/j.ifacol.2023.10.841,Anti-Windup Co-Estimation of Open Circuit Voltage and Equivalent Circuit Model Parameters for Lithium-Ion Battery Diagnostics,IFAC-PapersOnLine,2023,4,Other
10.20508/ijrer.v13i2.13916.g8766,A Comprehensive Review on Advanced Fault Detection Techniques of Lithium-ion Battery Packs in Electric Vehicle Applications,International Journal of Renewable Energy Research,2023,4,Fault & safety
10.2174/2212797616666230330103334,Soft Short-circuit Fault Diagnosis of the Lithium-ion Battery Pack Based on an Improved EKF Algorithm,Recent Patents on Mechanical Engineering,2023,4,Fault & safety
10.1016/j.energy.2025.139417,LLM-MSIformer: A method for lithium-ion battery state of health estimation based on a large language model and multi-time scale interval transformer,Energy,2026,4,Foundation models
10.1149/1945-7111/ad9cc9,Deep learning-based Remaining Useful Life Prediction of Lithium-ion Battery Considering Two-phase Aging Process,Journal of The Electrochemical Society,2024,4,Prognostics (RUL)
10.1016/j.electacta.2025.147039,Feature-enhanced machine learning prediction of supercapacitor cycle life from limited early-cycle data,Electrochimica Acta,2025,4,Prognostics (RUL)
10.2174/2666255813999201002152742,Remaining Useful Life Prediction of Lithium-ion Batteries Using Multiple Kernel Extreme Learning Machine,Recent Advances in Computer Science and Communications,2022,4,Prognostics (RUL)
10.1016/j.jiixd.2025.08.001,Lithium-ion battery remaining useful life prediction based on CEEMDAN decomposition and frequency-division learning,Journal of Information and Intelligence,2025,4,Prognostics (RUL)
10.3390/batteries11040161,Comparison of Kalman Filter and H-Infinity Filter for Battery State of Charge Estimation with a Detailed Validation Method,Batteries,2025,4,State estimation (SOC)
10.1016/j.est.2025.117951,Adaptive neural network models for state of charge estimation under dynamic battery conditions,Journal of Energy Storage,2025,4,State estimation (SOC)
10.1149/1945-7111/ac6bc4,An Online Estimation Method of State of Health for Lithium-Ion Batteries Based on Constant Current Charging Curve,Journal of The Electrochemical Society,2022,4,Health estimation (SOH)
10.1016/j.ifacol.2021.08.315,State-of-Charge Dependent Battery Model Identification Using Gaussian Process Regression,IFAC-PapersOnLine,2021,4,Health estimation (SOH)
10.3390/en17225671,Health State Prediction of Lithium-Ion Battery Based on Improved Sparrow Search Algorithm and Support Vector Regression,Energies,2024,4,Health estimation (SOH)
10.1002/ente.202400996,State of Health Estimation of Lithium‐Ion Batteries Based on Differential Thermal Voltammetry and Improved Gray Wolf Optimizer Optimizing Gaussian Process Regression,Energy Technology,2024,4,Health estimation (SOH)
10.3901/jme.2023.22.046,Lithium-ion Battery State of Health Estimation Based on Real-world Driving Data,Journal of Mechanical Engineering,2023,4,Health estimation (SOH);Thermal management;Transfer learning
10.3390/en13153791,Multi-Level Model Reduction and Data-Driven Identification of the Lithium-Ion Battery,Energies,2020,4,Thermal management
10.3390/batteries12020064,A Data-Driven Method Based on Feature Engineering and Physics-Constrained LSTM-EKF for Lithium-Ion Battery SOC Estimation,Batteries,2026,4,Thermal management
10.7717/peerj-cs.3497,Lithium-ion battery state of health estimation using automated machine learning (AutoML): performance comparison,PeerJ Computer Science,2026,3,Cell balancing & ECM;Digital twins;Fault & safety;Health estimation (SOH);Second life;State estimation (SOC);Transfer learning
10.1002/er.5915,Optimized fast charging protocol for cylindrical <scp>lithium‐ion</scp> battery based on constant incremental capacity algorithm,International Journal of Energy Research,2020,3,Charging control
10.1016/j.est.2026.120395,Optimized fast-charging of lithium-ion battery packs via predictive-reinforcement hierarchical control framework,Journal of Energy Storage,2026,3,Charging control
10.47738/jads.v5i3.236,Novel Battery Management with Fuzzy Tuned Low Voltage Chopper and Machine Learning Controlled Drive for Electric Vehicle Battery Management: A Pathway Towards SDG,Journal of Applied Data Sciences,2024,3,Cloud & fleet;Thermal management
10.3390/wevj16050267,Data-Driven Battery Remaining Life Prediction Based on ResNet with GA Optimization,World Electric Vehicle Journal,2025,3,Fault & safety
10.30939/ijastech..1295130,Modelling and fault diagnosis of lithium-ion battery for electric powertrain,International Journal of Automotive Science and Technology,2023,3,Fault & safety
10.1109/access.2020.3048146,Improved Modeling of Lithium-Ion Battery Capacity Degradation Using an Individual-State Training Method and Recurrent Softplus Neural Network,IEEE Access,2021,3,Graph networks;Physics-informed
10.3390/batteries11070241,Interpretable Deep Learning Using Temporal Transformers for Battery Degradation Prediction,Batteries,2025,3,Interpretability
10.3390/sym18040652,A Physics-Informed Recurrent Neural Network with Fractional-Order Kinetics for Robust Lithium-Ion Battery State of Charge Estimation,Symmetry,2026,3,Physics-informed;State estimation (SOC)
10.1149/1945-7111/ae1dd3,Physics-Informed Neural Network Estimation of Core and Surface Temperatures for Lithium-Ion Battery Safety Monitoring,Journal of The Electrochemical Society,2025,3,Physics-informed
10.7717/peerj-cs.3478,Hybrid machine learning framework for battery remaining useful life prediction with time-series modelling and statistical validation,PeerJ Computer Science,2026,3,Prognostics (RUL)
10.1088/2631-8695/ad8989,HyPELS: enhancing li-ion battery remaining useful life prediction with hybrid perspective ensemble learning strategy,Engineering Research Express,2024,3,Prognostics (RUL)
10.36001/phmconf.2021.v13i1.3053,An End-to-End Learning Framework for Battery Capacity-Fade Trajectory Prediction Using Early Life Data,Annual Conference of the PHM Society,2021,3,Prognostics (RUL)
10.1016/j.ifacol.2023.10.1545,Comparative Analysis of Battery Cycle Life Early Prediction Using Machine Learning Pipeline,IFAC-PapersOnLine,2023,3,Prognostics (RUL);Second life
10.31590/ejosat.959630,Battery State of Health and Charge Estimation Using Machine Learning Methods,European Journal of Science and Technology,2021,3,Second life
10.23940/ijpe.21.09.p9.825836,State-of-Health Estimation and End of Life Prediction for the Lithium-Ion Battery by Correlatable Feature-based Machine Learning Approach,International Journal of Performability Engineering,2021,3,Health estimation (SOH);Second life
10.1115/1.4052535,Lithium-Ion Battery State of Health Estimation Based on Improved Deep Extreme Learning Machine,Journal of Electrochemical Energy Conversion and Storage,2021,3,Digital twins;Health estimation (SOH);Second life;State estimation (SOC);Transfer learning
10.3390/batteries12050149,Physics-Informed and Explainable Machine Learning for State-of-Health Estimation of Second-Life Lithium-Ion Batteries Under Sparse Cycling,Batteries,2026,3,Second life
10.1016/j.est.2026.123023,Battery state-of-power estimation: A machine learning battery model with numerical searching approach,Journal of Energy Storage,2026,3,Second life
10.1088/1742-6596/2184/1/012024,Feature Extraction from Charging Profiles for State of Health Estimation of Lithium-ion Battery,Journal of Physics: Conference Series,2022,3,Health estimation (SOH)
10.1016/j.xcrp.2025.102646,Sensitivity analysis for reliable state-of-health estimation based on battery partial charging,Cell Reports Physical Science,2025,3,Health estimation (SOH)
10.3390/batteries11100347,State of Health Estimation of Lithium-Ion Battery Based on Novel Health Indicators and Improved Support Vector Regression,Batteries,2025,3,Health estimation (SOH)
10.3390/wevj14060153,An Improved Gaussian Process Regression Based Aging Prediction Method for Lithium-Ion Battery,World Electric Vehicle Journal,2023,3,Health estimation (SOH)
10.1049/icp.2022.1097,Lithium-ion battery state of health estimation with recurrent convolution neural networks,IET Conference Proceedings,2022,3,Health estimation (SOH)
10.2339/politeknik.1161986,Lithium-Ion Battery Thermal Parameter Identification and Core Temperature Estimation,Politeknik Dergisi,2023,3,Thermal management
10.1016/j.fraope.2025.100389,Early prediction of battery swelling via delta resistance features and optimized machine learning models to avoid thermal runaway,Franklin Open,2025,3,Thermal management
10.1016/j.dib.2022.108698,Data on Machine Learning regenerated Lithium-ion battery impedance,Data in Brief,2022,2,Cell balancing & ECM;Digital twins;Fault & safety
10.1007/s11581-025-06785-1,Multi-objective optimization of lithium-ion battery design via machine learning surrogate model: balancing energy density and capacity loss,Ionics,2025,2,Cell balancing & ECM
10.1002/est2.70151,Performance Analysis of Optimized Active Cell Balancing Circuits in Lithium‐Ion Battery Pack,Energy Storage,2025,2,Cell balancing & ECM
10.1051/e3sconf/202338501033,Review of machine learning method for safety management of lithium-ion battery energy storage,E3S Web of Conferences,2023,2,Cell balancing & ECM;Cross-cutting;Digital twins;Fault & safety
10.1016/j.matt.2021.07.003,Assessing battery kinetics with machine learning,Matter,2021,2,Benchmarks & data
10.1016/j.est.2024.115062,Predicting battery degradation profiles of IoT device usage modes through Machine Learning utilization models,Journal of Energy Storage,2025,2,Benchmarks & data
10.3390/electrochem6030033,Estimation of Lead Acid Battery Degradation—A Model for the Optimization of Battery Energy Storage System Using Machine Learning,Electrochem,2025,2,Benchmarks & data
10.1149/ma2022-012344mtgabs,Prediction of Reversible Lithium Plating during Fast Charging with a Pseudo-3D Lithium-Ion Battery Model,ECS Meeting Abstracts,2022,2,Charging control;Fault & safety
10.1016/j.jpowsour.2025.238049,Benchmarking optimization methods for materials research: Gradient descent and Bayesian optimization for lithium-ion battery aging diagnostics,Journal of Power Sources,2025,2,Charging control
10.62146/ijecbe.v2i2.54,An Implementation of Quasi-Newton Algorithm for Fast-charging Lithium-Ion Battery (LIB) Optimization in Electric Vehicle Application,"International Journal of Electrical, Computer, and Biomedical Engineering",2024,2,Charging control
10.3901/jme.2022.22.069,Fast Charging Control for Lithium-ion Batteries Based on Deep Reinforcement Learning,Journal of Mechanical Engineering,2022,2,Charging control
10.1007/s11581-025-06411-0,Safe and fast charging control strategy for lithium-ion batteries based on deep reinforcement learning,Ionics,2025,2,Charging control
10.1109/tie.2025.3559969,Fast Charging Management of a Lithium-Ion Battery and Cooling System: A Stackelberg Game-Based Soft Actor Critic−Deep Reinforcement Learning Method,IEEE Transactions on Industrial Electronics,2025,2,Charging control
10.37547/tajet/v7i11-301,Thermal Intelligence Big Data and AI for Sustainable Battery and Cabin Heat Management in Electric vehicle,The American Journal of Engineering and Technology,2025,2,Cloud & fleet;Thermal management
10.1002/est2.294,An improved electrochemical‐based model to estimate battery equivalent circuit parameters for pulsed discharge scenarios,Energy Storage,2021,2,Other
10.1016/j.ifacol.2025.07.016,Data-Driven Detection of Simultaneous Cyberphysical Faults in Connected Electric Vehicle Platoons,IFAC-PapersOnLine,2025,2,Fault & safety
10.1016/j.est.2025.118750,Synergistic internal temperature estimation and fault diagnosis of lithium-ion batteries via online sequential extreme learning machine,Journal of Energy Storage,2025,2,Fault & safety
10.1016/j.jechem.2022.12.003,Interpretable hybrid machine learning demystifies the degradation of practical lithium-sulfur batteries,Journal of Energy Chemistry,2023,2,Interpretability
10.1016/j.ensm.2026.104983,HA-LLM: A domain knowledge-enhanced large language model for vehicle-cloud collaborative battery health awareness,Energy Storage Materials,2026,2,Foundation models
10.1016/j.apenergy.2026.127394,Internal temperature sensing for lithium-ion battery under ultrahigh-rate discharge conditions using physics-informed neural network,Applied Energy,2026,2,Physics-informed
10.1016/j.tsep.2025.104104,Machine learning-based predictive control of thermal management system in battery electric vehicles,Thermal Science and Engineering Progress,2025,2,Cross-cutting;Thermal management
10.47760/ijcsmc.2023.v12i05.001,Battery Management System for Analysing Accurate Real Time Battery Condition using Machine Learning,International Journal of Computer Science and Mobile Computing,2023,2,Cross-cutting
10.3390/batteries12040135,A Data-Driven Framework for Lithium-Ion Battery Remaining Useful Life Prediction Using CNN and Machine Learning Models,Batteries,2026,2,Prognostics (RUL)
10.1007/s11581-025-06589-3,A hybrid data-driven method for lithium-ion battery capacity and remaining useful life early prediction,Ionics,2025,2,Prognostics (RUL)
10.1016/j.ifacol.2023.10.1547,Early prediction of battery life by learning from both time-series and histogram data,IFAC-PapersOnLine,2023,2,Prognostics (RUL)
10.1016/j.sctalk.2022.100100,Battery state of charge estimation using machine learning and electrochemical impedance spectroscopy measurements,Science Talks,2022,2,Second life
10.3390/en16145548,Machine Learning Estimation of Battery Efficiency and Related Key Performance Indicators in Smart Energy Systems,Energies,2023,2,Second life
10.1007/s11581-025-06519-3,Pressure-augmented physics-informed dynamic graph neural network and dual Kalman filter framework for robust battery state-of-charge estimation,Ionics,2025,2,State estimation (SOC)
10.22266/ijies2025.0930.28,State of Charge Estimation in Lithium-ion Batteries Using Hybrid Optimized Deep Neural Network and Extended Kalman Filter,International Journal of Intelligent Engineering and Systems,2025,2,State estimation (SOC)
10.1002/tee.70097,State‐of‐Charge Estimation of Lithium‐Ion Battery Using <scp>BP</scp> Neural Network and Adaptive Unscented Kalman Filter,IEEJ Transactions on Electrical and Electronic Engineering,2025,2,State estimation (SOC)
10.3390/batteries12020077,Battery State-of-Health Estimation with Embedded Impedance Spectrum Features Under Multiple Battery Chemistry and Temperature Conditions,Batteries,2026,2,Health estimation (SOH)
10.1088/1742-6596/1633/1/012090,State estimation of lithium-ion battery based on Gaussian process regression,Journal of Physics: Conference Series,2020,2,Health estimation (SOH)
10.3901/jme.2023.22.069,Core Temperature Estimation Method for Lithium-ion Battery Based on Deep Learning Method with Particle Swarm Optimization,Journal of Mechanical Engineering,2023,2,Thermal management
10.1016/j.psep.2026.108830,Safety-oriented pre-event severity prediction of lithium-ion battery thermal runaway using interpretable machine learning,Process Safety and Environmental Protection,2026,2,Thermal management
10.3390/pr14121864,Real-Time Self-Learning Digital Twin for Lithium-Ion Battery Energy Storage Systems in Smart Grids,Processes,2026,2,Digital twins
10.62441/nano-ntp.v20is7.7,Data-Driven Estimation of Lithium-Ion Battery State-of-Health Prediction Approach Using Machine Learning Algorithm for Enhanced Battery Management Systems,Nanotechnology Perceptions,2024,1,Cell balancing & ECM;Cross-cutting;Digital twins;Fault & safety;Health estimation (SOH);Prognostics (RUL);Second life;State estimation (SOC);Thermal management;Transfer learning
10.3390/math14111879,Trustworthy Machine Learning and Mathematical Modelling for Lithium-Ion Battery State-of-Health Estimation,Mathematics,2026,1,Cell balancing & ECM;Digital twins;Health estimation (SOH);Second life;State estimation (SOC)
10.2139/ssrn.3991083,Uncertainty-Aware and Explainable Machine Learning for Early Prediction of Battery Cell Degradation,SSRN Electronic Journal,2021,1,Benchmarks & data
10.1149/ma2023-014848mtgabs,A Comparative Study on Physics-Informed Machine Learning for Battery Degradation Diagnostics,ECS Meeting Abstracts,2023,1,Benchmarks & data;Interpretability
10.53555/kuey.v29i2.4230,Revolutionizing EV Sustainability: Machine Learning Approaches To Battery Maintenance Prediction,Educational Administration Theory and Practices,2023,1,Benchmarks & data
10.3901/jme.2021.14.001,Capacity Estimation of Lithium Ion Battery Considering Hybrid Charging Data,Journal of Mechanical Engineering,2021,1,Charging control;Thermal management
10.1016/j.est.2025.119348,Health-conscious charging of lithium-ion batteries using Bayesian optimization guided by a semi-empirical aging model,Journal of Energy Storage,2026,1,Charging control
10.3390/wevj16100565,Optimized Charging Strategy for Lithium-Ion Battery Based on Improved MFO Algorithm and Multi-State Coupling Model,World Electric Vehicle Journal,2025,1,Charging control
10.3390/electronics15102018,Data-Driven Analysis of Electric Powertrain Energy Flow and Traction Battery Behavior in a Modern Battery Electric Vehicle Using Real-World OBD Data,Electronics,2026,1,Cloud & fleet;Fault & safety
10.2139/ssrn.4229575,Identification of Parameters for Equivalent Circuit Model of Li-Ion Battery Cell with Population Based Optimization Algorithms,SSRN Electronic Journal,2022,1,Other
10.3390/vehicles8040081,"Autoencoder-Based Latent Representation Learning, SoH Estimation, and Anomaly Detection in Electric Vehicle Battery Energy Storage Systems",Vehicles,2026,1,Fault & safety
10.1080/15435075.2025.2532723,Machine learning-driven diagnosis of lithium-ion battery performance in electric vehicles,International Journal of Green Energy,2025,1,Fault & safety
10.1016/j.jpowsour.2026.239593,Real-time spatiotemporal temperature gradient estimation based on a graph convolutional neural network for battery cells,Journal of Power Sources,2026,1,Graph networks
10.1002/bte2.70122,"Real‐Time, Interpretable Diagnostics for Solid‐State Batteries via Machine Learning on In Situ Impedance Spectra",Battery Energy,2026,1,Interpretability
10.1016/j.etran.2026.100549,STL-LLM: A seasonal-trend decomposition-enhanced large language model for battery capacity aging trajectory prediction,eTransportation,2026,1,Foundation models
10.1109/tec.2026.3651941,Li-Ion Battery Doctor: A Fine-Tuned and Explainable Large-Language Model for Health Prognosis,IEEE Transactions on Energy Conversion,2026,1,Foundation models
10.13052/dgaej2156-3306.3833,Lithium-Ion Battery State of Charge Estimation Using Deep Neural Network,Distributed Generation &amp; Alternative Energy Journal,2023,1,Physics-informed;State estimation (SOC)
10.1134/s0361768825700240,Machine Learning-Enabled Battery Management System on FPGA for Electric Vehicles,Programming and Computer Software,2025,1,Cross-cutting
10.20517/jmi.2025.80,A hybrid deep learning model for robust and data-efficient lithium-ion battery remaining useful life prediction,Journal of Materials Informatics,2026,1,Prognostics (RUL)
10.1155/er/8083561,Data‐Driven Machine Learning Model for Battery Life Prediction Across Electrode Materials,International Journal of Energy Research,2026,1,Prognostics (RUL)
10.1016/j.est.2026.123079,Data-driven machine learning framework for accelerating lifetime prediction of LiS batteries using early-cycle electrochemical features,Journal of Energy Storage,2026,1,Prognostics (RUL)
10.1049/icp.2025.0249,Sodium-ion battery cycle life prediction using machine learning,IET Conference Proceedings,2025,1,Prognostics (RUL)
10.1149/ma2024-01532800mtgabs,Accurate Battery Life Prediction Using Early-Cycle Features,ECS Meeting Abstracts,2024,1,Prognostics (RUL)
10.1109/access.2020.3009703,Correction to “Simulator Assessment Theory for Remaining Useful Life Prediction of Lithium-Ion Battery Under Multiple Uncertainties”,IEEE Access,2020,1,Prognostics (RUL)
10.1149/ma2021-022239mtgabs,Application of Machine Learning in Battery: State of Charge Estimation Using Feed Forward Neural Network for Na-Ion Batteries,ECS Meeting Abstracts,2021,1,Second life;State estimation (SOC)
10.3390/app15158164,A Unified Machine Learning Framework for Li-Ion Battery State Estimation and Prediction,Applied Sciences,2025,1,Second life
10.1088/1742-6596/2661/1/012025,Estimation of Battery State of Charge Based on Electrochemical Impedance Spectroscopy and Machine Learning,Journal of Physics: Conference Series,2023,1,Second life
10.32604/cmc.2022.030490,State-of-Charge Estimation of Lithium-Ion Battery for Electric Vehicles Using Deep Neural Network,"Computers, Materials &amp; Continua",2022,1,State estimation (SOC)
10.37394/23202.2022.21.1,Applying Set Membership Strategy in State of Charge Estimation for Lithium-ion Battery,WSEAS TRANSACTIONS ON SYSTEMS,2022,1,State estimation (SOC)
10.1016/j.jpowsour.2026.240053,GPINND: A deep-learning-based state of health estimation for lithium-ion battery,Journal of Power Sources,2026,1,Health estimation (SOH);State estimation (SOC)
10.1088/1742-6596/2450/1/012091,Estimation of State of Charge and State of Health of Marine Lithium Battery based on BP Neural Network,Journal of Physics: Conference Series,2023,1,State estimation (SOC)
10.1088/1742-6596/2418/1/012118,A State-of-Charge estimation method of Lithium battery based on BP neural network,Journal of Physics: Conference Series,2023,1,State estimation (SOC)
10.17482/uumfd.1595646,ESTIMATION OF ELECTRIC VEHICLE MULTIPLE PACKAGE LITHIUM-ION BATTERY STATE OF CHARGE USING AN EXTENDED MACHINE LEARNING,Uludağ University Journal of The Faculty of Engineering,2025,1,State estimation (SOC)
10.3390/machines12100738,State of Charge Estimation for Lithium-Ion Battery Based on Fractional-Order Kreisselmeier-Type Adaptive Observer,Machines,2024,1,State estimation (SOC)
10.3390/en19020335,Dual-Modal Mixture-of-KAN Network for Lithium-Ion Battery State-of-Health Estimation Using Early Charging Data,Energies,2026,1,Health estimation (SOH)
10.23919/ien.2023.0043,An accurate battery state of health estimation method easy to implement after charging,iEnergy,2023,1,Health estimation (SOH)
10.12720/sgce.11.4.135-140,SOC estimation of lithium-ion battery at low temperature,International Journal of Smart Grid and Clean Energy,2022,1,Thermal management
10.32604/ee.2025.071144,A Data-Driven Framework for Lithium-Ion Battery SOH Estimation Using VMD-GRU Hybrid Approach with Multi-Scale Feature Analysis,Energy Engineering,2026,1,Thermal management
10.55162/mcet.04.115,Prediction of Electric Vehicle Energy Consumption by Combining Real Vehicle Data and Machine Learning Methods,Medicon Engineering Themes,2023,1,Thermal management
10.1149/ma2020-012429mtgabs,Predicting Thermal Runaway in Li-Ion Battery Employing Machine Learning Framework,ECS Meeting Abstracts,2020,1,Thermal management
10.32604/cmes.2025.073030,Multivariate Lithium-ion Battery State Prediction with Channel-Independent Informer and Particle Filter for Battery Digital Twin,Computer Modeling in Engineering &amp; Sciences,2025,1,Digital twins
10.1149/ma2022-02261015mtgabs,Machine Learning Lithium-Ion Battery Safety Risk Level Classification,ECS Meeting Abstracts,2022,0,Cell balancing & ECM;Digital twins;Fault & safety
10.1149/ma2020-01502748mtgabs,(Invited) Discovery and Design of Alloy Catalysts and Lithium-Ion Battery Materials through Machine Learning,ECS Meeting Abstracts,2020,0,Cell balancing & ECM;Digital twins;Fault & safety
10.30726/esij/v7.i4.2020.74023,Charge and Health Status Estimation of a Lithium Ion Battery in an Electric Vehicle using Cell Balancing IOT Modeling Techniques,Engineering and Scientific International Journal,2021,0,Cell balancing & ECM
